,,,,,,,,,,,,,,
RUN 2642 – 26 gennaio,,,direzione,,,entry point [mm],,,tempo [ns],exit point [mm],,,tempo [ns],quality
event,traccia,charge [p.e.],ux,uy,uz,x,y,z,,x,y,z,,
10325,0,1740,-0.585894,-0.576351,-0.569691,17520.2,947.413,-10619.5,526,-999999,-999999,-999999,-999999,1740
10326,0,897,0.0528059,0.790181,-0.610594,-7920.8,-18843.5,1560.21,501,-6201.15,6889.18,-18324.1,635,2237
10327,0,967,-0.241352,-0.792423,-0.560192,19325,6708.32,1338.45,495,14150.5,-10281,-10671.9,547,1897
10328,0,2027,-0.57965,-0.577249,-0.575143,-7477.5,-11588.5,-15194.8,574,-999999,-999999,-999999,-999999,2027
10329,0,914,-0.581616,-0.568648,-0.581689,2125.01,-20217.4,2251.77,518,-999999,-999999,-999999,-999999,914
10330,0,2289,-0.579771,-0.583858,-0.568309,830.653,7887.1,-18954.4,456,-999999,-999999,-999999,-999999,2289
10331,0,1635,-0.570253,-0.584793,-0.576913,-18103.2,6932.53,-6634.82,354,-999999,-999999,-999999,-999999,1635
10332,0,1595,-0.577661,-0.584599,-0.569694,5814.01,17893.9,-8057.81,366,-999999,-999999,-999999,-999999,1595
10333,0,961,-0.18193,-0.384449,-0.905042,19985,4261.06,1641.59,485,17520.3,-947.282,-10619.5,531,1739
10334,0,920,-0.583039,-0.568197,-0.580704,6282.02,-19333.8,2251.77,507,-999999,-999999,-999999,-999999,920
10335,0,1991,-0.57313,-0.585909,-0.572916,-12749.3,9262.85,-13118.5,466,-999999,-999999,-999999,-999999,1991
10336,0,1994,-0.572469,-0.585208,-0.574291,-15163.5,6751.15,-12029.9,467,-999999,-999999,-999999,-999999,1994
10337,0,2169,-0.578509,-0.58501,-0.56841,1321.56,12574.3,-16159.2,428,-999999,-999999,-999999,-999999,2169
10338,0,1035,0.453481,0.0606726,-0.889198,-19034,7538.64,1061.57,486,-10743.4,8647.87,-15194.8,573,2183
10339,0,2046,-0.585574,-0.573716,-0.572672,7974.12,-12436.2,-14233.9,529,-999999,-999999,-999999,-999999,2046
10340,0,2262,-0.582745,-0.578147,-0.5711,750.938,-7144.44,-19246.9,586,-999999,-999999,-999999,-999999,2262
10341,0,883,0.369181,0.687169,-0.625702,-17117.7,-11024.9,2251.77,507,-5798.7,10043.5,-16932.1,624,2176
10341,1,1048,0.373921,0.503944,-0.778604,-20383.4,1225.98,-1503.73,541,-16005.6,7126.07,-10619.5,571,1817
10342,0,2179,-0.575049,-0.58531,-0.571604,-10228.9,7431.65,-16159.2,481,-999999,-999999,-999999,-999999,2179
10343,0,2105,-0.574908,-0.586431,-0.570595,-6783.11,13123.8,-14233.9,470,-999999,-999999,-999999,-999999,2105
10344,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,411,-999999,-999999,-999999,-999999,897
10345,0,987,-0.178151,0.448049,-0.876079,19270.7,6855.37,1376.12,332,18842.3,7932.87,-730.744,332,963
10346,0,1989,-0.572497,-0.585843,-0.573616,-13956,9030.14,-12029.9,565,-999999,-999999,-999999,-999999,1989
10347,0,889,0.594359,0.52923,-0.605518,-13734.6,-15151.3,1431.53,522,6562.71,2921.94,-19246.9,631,2279
10348,0,963,-0.583379,-0.575196,-0.573427,19647.1,5343.97,2251.77,410,-999999,-999999,-999999,-999999,963
10349,0,976,-0.580603,-0.578977,-0.572438,15790,12945.4,1503.73,282,-999999,-999999,-999999,-999999,976
10350,0,2071,-0.58505,-0.578459,-0.568421,13615.4,2197.39,-15194.8,572,-999999,-999999,-999999,-999999,2071
10351,0,2050,-0.586116,-0.573997,-0.571835,10385.5,-10506.5,-14233.9,567,-999999,-999999,-999999,-999999,2050
10352,0,949,-0.585431,-0.571082,-0.575444,19647.1,-5343.82,2251.77,474,-999999,-999999,-999999,-999999,949
10353,0,1352,-0.119185,0.553342,-0.824383,13478.9,-14865.2,-4194.83,548,11956.8,-7798.39,-14723.1,595,2149
10354,0,1910,-0.586535,-0.575173,-0.570221,16235.8,-3450.95,-12029.9,528,-999999,-999999,-999999,-999999,1910
10355,0,2189,-0.577937,-0.580985,-0.573101,-9445.46,-4220.56,-17733.8,531,-999999,-999999,-999999,-999999,2189
10356,0,1380,-0.585686,-0.574938,-0.571331,19783.8,1069.39,-5210.75,473,-999999,-999999,-999999,-999999,1380
10357,0,2198,-0.581586,-0.577969,-0.57246,-2674.08,-8877.19,-18324.1,519,-999999,-999999,-999999,-999999,2198
10358,0,897,-0.576859,-0.571618,-0.583512,-9175.11,-18176.4,2251.77,530,-999999,-999999,-999999,-999999,897
10359,0,2331,-0.579024,-0.583387,-0.569554,-3557.19,3950.63,-19854.9,583,-999999,-999999,-999999,-999999,2331
10360,0,2397,-0.580838,-0.581932,-0.569194,-463.994,1418.06,-20502,602,-999999,-999999,-999999,-999999,2397
10361,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,603,-999999,-999999,-999999,-999999,2184
10362,0,933,-0.48212,0.274849,-0.831877,14478.4,-14400.8,1801.5,475,2449.13,-7543.08,-18954.4,598,2266
10363,0,2199,-0.582368,-0.576991,-0.572651,-1067.61,-10290.3,-17733.8,507,-999999,-999999,-999999,-999999,2199
10364,0,871,-0.569691,-0.579582,-0.582699,-20122.1,-3109.37,2251.77,497,-999999,-999999,-999999,-999999,871
10365,0,913,0.897223,0.415235,-0.150236,1565.01,-20388.5,1452.99,538,14606.4,-14352.9,-730.744,549,1136
10366,0,2156,-0.585046,-0.578339,-0.568546,11597.3,0.0454,-16932.1,540,-999999,-999999,-999999,-999999,2156
10367,0,1337,-0.583003,-0.570285,-0.578691,2201.46,-19661.4,-5210.75,491,-999999,-999999,-999999,-999999,1337
10368,0,915,-0.582029,-0.568477,-0.581443,3261.02,-20098,2251.77,537,-999999,-999999,-999999,-999999,915
10369,0,901,-0.577681,-0.570961,-0.583342,-7414.18,-18961.4,2311.61,371,-999999,-999999,-999999,-999999,901
10370,0,1363,-0.532186,0.369048,-0.761959,18034.2,-8777.25,-4240.13,81,7757.07,-1650.53,-18954.4,603,2274
10371,0,1363,-0.58668,-0.571047,-0.574205,17920.9,-9202.45,-3722.65,113,-999999,-999999,-999999,-999999,1363
10372,0,1601,-0.576027,-0.585654,-0.570264,1966.61,18711.7,-8057.81,498,-999999,-999999,-999999,-999999,1601
10373,0,909,-0.084645,0.816654,-0.570886,-1689.59,-20372.9,1529.66,516,-4633.3,8027.93,-18324.1,643,2235
10374,0,2291,-0.579132,-0.584184,-0.568626,-827.32,7887.45,-18954.4,357,-999999,-999999,-999999,-999999,2291
10375,0,1121,-0.583542,-0.569136,-0.579278,5092.57,-19720.3,-2251.77,530,-999999,-999999,-999999,-999999,1121
10376,0,1917,-0.585826,-0.576778,-0.569329,16598.5,897.624,-12029.9,535,-999999,-999999,-999999,-999999,1917
10377,0,2225,-0.580988,-0.583188,-0.567755,5160.75,8966.41,-17733.8,482,-999999,-999999,-999999,-999999,2225
10378,0,1628,0.29557,-0.634659,-0.714035,-15584.8,11517.3,-6687.07,439,-11343.9,2411.17,-16932.1,541,2183
10379,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,568,-999999,-999999,-999999,-999999,2144
10380,0,1811,-0.571897,-0.586093,-0.573959,-14174.2,10298.1,-10619.5,450,-999999,-999999,-999999,-999999,1811
10381,0,946,-0.585954,-0.570089,-0.575897,18205.9,-9362.28,730.744,485,-999999,-999999,-999999,-999999,946
10382,0,994,0.0122093,-0.725179,-0.688452,7407.96,19084.8,730.744,440,7757.07,-1650.53,-18954.4,556,2273
10382,1,994,-0.341744,-0.464661,-0.816885,7407.96,19084.8,730.744,440,-827.32,7887.45,-18954.4,608,2291
10383,0,1755,-0.583109,-0.580103,-0.568739,14980,9747.05,-10032.2,407,-999999,-999999,-999999,-999999,1755
10384,0,1304,0.682612,0.608204,-0.405129,-15974.4,-12528.8,-2845.71,509,7760.08,8618.51,-16932.1,648,2163
10385,0,2199,-0.582368,-0.576991,-0.572651,-1067.61,-10290.3,-17733.8,538,-999999,-999999,-999999,-999999,2199
10386,0,1983,-0.572822,-0.586448,-0.572673,-11773.6,11734.4,-12029.9,441,-999999,-999999,-999999,-999999,1983
10387,0,1946,0.382272,0.719816,-0.579425,7711.62,-14927.3,-11745.4,638,8617.48,-13221.6,-13118.5,580,1886
10388,0,1713,-0.586595,-0.571677,-0.573666,12901.4,-12858.4,-9422.97,537,-999999,-999999,-999999,-999999,1713
10389,0,2030,-0.58091,-0.575948,-0.575175,-4899.23,-13398.8,-14723.1,575,-999999,-999999,-999999,-999999,2030
10390,0,1927,-0.584441,-0.578917,-0.568581,15528.5,5931.3,-12029.9,483,-999999,-999999,-999999,-999999,1927
10391,0,1688,-0.230472,0.736396,-0.636084,-1519.66,-17982.9,-9723.98,551,-4635.74,-8026.52,-18324.1,588,2253
10392,0,908,-0.57998,-0.569464,-0.582524,-2124.87,-20217.5,2251.77,285,-999999,-999999,-999999,-999999,908
10393,0,1089,-0.576705,-0.573361,-0.581952,-11247.4,-16980,-2251.77,547,-999999,-999999,-999999,-999999,1089
10394,0,1897,-0.911132,-0.0385053,-0.410311,13171,-9777.07,-12295.7,547,1095.19,-10287.4,-17733.8,619,2199
10395,0,1848,-0.577072,-0.578413,-0.576564,-12248.4,-9952.31,-13118.5,579,-999999,-999999,-999999,-999999,1848
10396,0,2011,-0.575427,-0.582088,-0.574506,-13615.4,-2197.39,-15194.8,589,-999999,-999999,-999999,-999999,2011
10397,0,963,-0.583379,-0.575196,-0.573427,19647.1,5343.97,2251.77,444,-999999,-999999,-999999,-999999,963
10398,0,1889,-0.585556,-0.573049,-0.573357,7879.54,-13647.7,-13118.5,581,-999999,-999999,-999999,-999999,1889
10399,0,907,-0.27013,0.437416,-0.857728,-3162.4,-20227.7,1044.17,527,-7974.03,-12436.3,-14233.9,612,2133
10400,0,2157,-0.584676,-0.579052,-0.568201,12367.2,2628.79,-16159.2,549,-999999,-999999,-999999,-999999,2157
10401,0,1088,0.341785,0.606726,-0.717681,-9791.28,-17987.9,-904.245,529,-458.133,-1419.96,-20502,573,2389
10402,0,1017,-0.190129,-0.476973,-0.858107,-11545,16894,1247.06,425,-14174.2,10298.1,-10619.5,479,1988
10403,0,2156,-0.585046,-0.578339,-0.568546,11597.3,0.0454,-16932.1,278,-999999,-999999,-999999,-999999,2156
10404,0,1713,-0.586595,-0.571677,-0.573666,12901.4,-12858.4,-9422.97,563,-999999,-999999,-999999,-999999,1713
10405,0,937,0.192804,0.766725,-0.612339,15810.4,-12964.5,1483.74,545,18814.8,-1017.28,-8057.81,538,1736
10406,0,1346,-0.079244,0.640545,-0.763821,9788.43,-17548.9,-4058.84,552,8369.7,-6080.94,-17733.8,598,2209
10407,0,2252,-0.579639,-0.580566,-0.571806,-5811.8,-4222.55,-19246.9,385,-999999,-999999,-999999,-999999,2252
10408,0,2135,-0.580161,-0.577459,-0.574417,-6321.73,-10949.6,-16159.2,586,-999999,-999999,-999999,-999999,2135
10409,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,539,-999999,-999999,-999999,-999999,2184
10410,0,2270,-0.583967,-0.578435,-0.569557,5413.21,-4110.92,-19397.4,523,-999999,-999999,-999999,-999999,2270
10411,0,1482,-0.574055,-0.578838,-0.579144,-16774.3,-8582.1,-8057.81,535,-999999,-999999,-999999,-999999,1482
10412,0,1971,-0.57518,-0.586545,-0.570204,-3967.08,15714.3,-12584.1,379,-999999,-999999,-999999,-999999,1971
10413,0,1371,-0.586255,-0.573012,-0.572679,19895.8,-3143.03,-3722.65,504,-999999,-999999,-999999,-999999,1371
10414,0,1513,-0.582762,-0.570909,-0.578317,999.161,-19359.5,-6634.82,200,-999999,-999999,-999999,-999999,1513
10415,0,1291,0.708203,-0.277229,-0.649301,-19770.6,-3247.32,-4339.05,488,-5160.75,-8966.41,-17733.8,587,2197
10416,0,1003,0.333504,-0.428228,-0.839878,-989.011,20336.8,2251.77,473,6321.73,10949.7,-16159.2,533,2165
10416,1,1003,-0.404606,-0.582086,-0.705316,-989.011,20336.8,2251.77,473,-11550.5,5142.54,-16159.2,577,2181
10417,0,1815,-0.571296,-0.584962,-0.575709,-17016,6499.32,-9422.97,477,-999999,-999999,-999999,-999999,1815
10418,0,2213,-0.585057,-0.577957,-0.568923,10122.3,-2137.39,-17733.8,571,-999999,-999999,-999999,-999999,2213
10419,0,937,-0.585395,-0.568882,-0.577655,15742.2,-12910.7,2311.61,485,-999999,-999999,-999999,-999999,937
10420,0,1465,0.634126,0.25851,-0.728736,-19225.6,1198.48,-7013.44,483,-10594.7,4717.01,-16932.1,505,2182
10421,0,891,0.401736,0.0664238,-0.913343,-13689.6,-15156.5,1768.45,446,-7141.5,-14073.8,-13118.5,533,2026
10422,0,2310,-0.58105,-0.579917,-0.571032,-2658.06,-4603.89,-19854.9,563,-999999,-999999,-999999,-999999,2310
10423,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,534,-999999,-999999,-999999,-999999,2184
10424,0,2117,-0.57368,-0.58521,-0.57308,-13201.7,6630.4,-14233.9,510,-999999,-999999,-999999,-999999,2117
10425,0,2237,-0.576581,-0.585065,-0.57031,-6932.8,7678.94,-17733.8,580,-999999,-999999,-999999,-999999,2237
10426,0,1866,-0.580925,-0.575033,-0.576076,-4858.47,-14952.8,-13166,522,-999999,-999999,-999999,-999999,1866
10427,0,867,-0.568906,-0.581436,-0.581617,-20383.4,1191.92,1503.73,414,-999999,-999999,-999999,-999999,867
10428,0,954,-0.58552,-0.572114,-0.574328,20231.9,-3126.75,730.744,503,-999999,-999999,-999999,-999999,954
10429,0,1065,-0.571744,-0.578711,-0.581552,-19080,-7126.01,-2251.77,533,-999999,-999999,-999999,-999999,1065
10430,0,1814,0.831046,-0.0812158,-0.550242,-16004.3,7879.82,-10100.6,485,-1963.04,6507.61,-19397.4,571,2292
10431,0,967,-0.582787,-0.576033,-0.573189,19035.9,7225.04,2251.77,433,-999999,-999999,-999999,-999999,967
10432,0,2139,-0.58241,-0.575848,-0.573757,-1321.56,-12574.3,-16159.2,511,-999999,-999999,-999999,-999999,2139
10433,0,1017,0.7894,-0.298151,-0.536613,-11155,17114.1,1710.24,361,12264.1,8268.87,-14209.4,416,1942
10434,0,2389,-0.581385,-0.58099,-0.569598,-232.386,-912.924,-20502,489,-999999,-999999,-999999,-999999,2389
10435,0,955,-0.584882,-0.572574,-0.574519,20328.8,-1142.19,2251.77,475,-999999,-999999,-999999,-999999,955
10436,0,904,-0.578863,-0.570374,-0.582744,-5165.24,-19754.1,1503.73,528,-999999,-999999,-999999,-999999,904
10437,0,1628,-0.570348,-0.586015,-0.575578,-15660.9,11378.2,-6634.82,375,-999999,-999999,-999999,-999999,1628
10438,0,1288,-0.570689,-0.581608,-0.579695,-19946.4,-1194.83,-4478.9,440,-999999,-999999,-999999,-999999,1288
10439,0,1582,-0.581423,-0.581398,-0.569143,13345.5,13301.4,-8057.81,292,-999999,-999999,-999999,-999999,1582
10440,0,2314,-0.582795,-0.578898,-0.570287,1642.79,-5055.92,-19854.9,526,-999999,-999999,-999999,-999999,2314
10441,0,1095,-0.579325,-0.570763,-0.581904,-5125.1,-19829.2,-695.837,555,-999999,-999999,-999999,-999999,1095
10442,0,895,0.867766,-0.136015,-0.477999,-10180.2,-17720.7,1609.56,521,2201.46,-19661.4,-5210.75,565,1515
10443,0,1926,-0.584893,-0.578483,-0.568557,15237.4,4110.02,-13118.5,610,-999999,-999999,-999999,-999999,1926
10444,0,2232,-0.578697,-0.584598,-0.568643,-967.476,9218.41,-18324.1,595,-999999,-999999,-999999,-999999,2232
10445,0,1008,-0.57206,-0.58554,-0.574361,-3278.28,20207.9,730.744,93,-999999,-999999,-999999,-999999,1008
10446,0,2157,-0.584676,-0.579052,-0.568201,12367.2,2628.79,-16159.2,553,-999999,-999999,-999999,-999999,2157
10447,0,1007,-0.572478,-0.585366,-0.574123,-2136.62,20327.9,730.744,440,-999999,-999999,-999999,-999999,1007
10448,0,1607,0.0282529,-0.998918,-0.0369529,-1966.75,18711.7,-8057.81,466,-922.996,-18191.6,-9422.97,181,1689
10448,1,1607,-0.295138,-0.667623,-0.683501,-1966.75,18711.7,-8057.81,466,-5798.7,10043.5,-16932.1,483,2176
10449,0,1252,-0.570156,-0.586433,-0.575343,-11247.6,16979.9,-2251.77,428,-999999,-999999,-999999,-999999,1252
10450,0,2174,-0.577146,-0.585508,-0.569283,-3382.37,11057.1,-16958.9,436,-999999,-999999,-999999,-999999,2174
10451,0,1284,-0.569372,-0.582823,-0.579769,-20144.6,3003.19,-2251.77,391,-999999,-999999,-999999,-999999,1284
10452,0,945,-0.570713,-0.744562,-0.346287,18704.7,-8325.86,1031.91,524,13292.9,-15386.2,-2251.77,542,1351
10453,0,2198,-0.581586,-0.577969,-0.57246,-2674.08,-8877.19,-18324.1,533,-999999,-999999,-999999,-999999,2198
10454,0,2037,-0.583299,-0.574203,-0.574503,858.731,-14748.2,-14233.9,571,-999999,-999999,-999999,-999999,2037
10455,0,1157,-0.586065,-0.571579,-0.574304,19733.2,-5472.95,-730.744,506,-999999,-999999,-999999,-999999,1157
10456,0,1172,-0.767847,0.31673,-0.556859,20330.5,1449.49,-2195.44,451,-1095.19,10287.4,-17733.8,588,2174
10457,0,888,0.65359,0.0444211,-0.755544,-16202.6,-12552.6,396.654,509,-1212.2,-11533.8,-16932.1,607,2140
10458,0,1500,-0.578865,-0.574033,-0.579139,-8526.26,-16802.8,-8057.81,551,-999999,-999999,-999999,-999999,1500
10459,0,1832,-0.574037,-0.581497,-0.576491,-16235.7,-3451.08,-12029.9,533,-999999,-999999,-999999,-999999,1832
10460,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,562,-999999,-999999,-999999,-999999,2184
10461,0,1811,-0.571897,-0.586093,-0.573959,-14174.2,10298.1,-10619.5,484,-999999,-999999,-999999,-999999,1811
10462,0,1041,0.238422,-0.471073,-0.849262,-20335,2137.68,1472.16,359,-16940.4,-4569.38,-10619.5,564,1655
10463,0,1332,-0.581794,-0.570855,-0.579344,-1004.44,-19787.2,-5210.75,520,-999999,-999999,-999999,-999999,1332
10464,0,910,-0.579832,-0.569983,-0.582164,-3278.13,-20207.9,730.744,516,-999999,-999999,-999999,-999999,910
10465,0,2114,-0.573725,-0.58561,-0.572626,-12343,8117.68,-14233.9,488,-999999,-999999,-999999,-999999,2114
10466,0,1024,0.540528,0.0453228,-0.840104,-11347.8,17049.7,887.217,344,-4733.79,17604.2,-9392.41,312,1788
10467,0,955,-0.628704,-0.761319,-0.158509,20283.1,-2730.71,1178.23,513,6678.5,-19205,-2251.77,539,1122
10468,0,1497,0.616779,0.532682,-0.579511,-9051.84,-17307.7,-6225.55,539,4806.92,-5338.58,-19246.9,593,2270
10469,0,2157,-0.584676,-0.579052,-0.568201,12367.2,2628.79,-16159.2,550,-999999,-999999,-999999,-999999,2157
10470,0,1524,-0.584912,-0.570759,-0.576291,6781.7,-17579.5,-8057.81,559,-999999,-999999,-999999,-999999,1524
10471,0,2228,-0.58025,-0.583693,-0.56799,2865.63,8814.95,-18324.1,411,-999999,-999999,-999999,-999999,2228
10472,0,2080,-0.582759,-0.581426,-0.567746,10804.2,8491.22,-15236.7,446,-999999,-999999,-999999,-999999,2080
10473,0,1958,-0.577118,-0.585628,-0.569188,1734.95,16507.5,-12029.9,364,-999999,-999999,-999999,-999999,1958
10474,0,2028,-0.580246,-0.576748,-0.575044,-6286.48,-12276.2,-15194.8,579,-999999,-999999,-999999,-999999,2028
10475,0,973,-0.581339,-0.577818,-0.572862,17143.4,10982.1,2311.61,363,-999999,-999999,-999999,-999999,973
10476,0,919,-0.582691,-0.568267,-0.580985,5195.67,-19686.8,2251.77,519,-999999,-999999,-999999,-999999,919
10477,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,550,-999999,-999999,-999999,-999999,1878
10478,0,2181,-0.574983,-0.584693,-0.572302,-11550.5,5142.54,-16159.2,506,-999999,-999999,-999999,-999999,2181
10479,0,963,-0.583379,-0.575196,-0.573427,19647.1,5343.97,2251.77,221,-999999,-999999,-999999,-999999,963
10480,0,1029,0.90134,0.16254,-0.401455,-17117.8,11024.8,2251.77,442,9094.13,15751.6,-9422.97,506,1766
10480,1,1029,0.744495,0.345615,-0.571207,-17117.8,11024.8,2251.77,442,-1901.27,18088.7,-9422.97,477,1784
10480,2,1041,0.706326,0.23937,-0.666188,-20122.1,3109.22,2251.77,410,1067.61,10290.3,-17733.8,513,2229
10481,0,2039,-0.583258,-0.574788,-0.573958,762.153,-13770.5,-15194.8,553,-999999,-999999,-999999,-999999,2039
10482,0,2087,-0.580878,-0.583248,-0.567806,7477.5,11588.5,-15194.8,430,-999999,-999999,-999999,-999999,2087
10483,0,1353,-0.391802,0.157679,-0.906437,14718.3,-13788.5,-3674.27,528,11106.6,-12335,-12029.9,553,1892
10484,0,2184,-0.575746,-0.583756,-0.572491,-11343.9,2411.17,-16932.1,502,-999999,-999999,-999999,-999999,2184
10485,0,955,-0.584882,-0.572574,-0.574519,20328.8,-1142.19,2251.77,462,-999999,-999999,-999999,-999999,955
10486,0,1514,-0.583135,-0.570753,-0.578096,2023.52,-19251.8,-6634.82,533,-999999,-999999,-999999,-999999,1514
10487,0,1926,-0.584893,-0.578483,-0.568557,15237.4,4110.02,-13118.5,506,-999999,-999999,-999999,-999999,1926
10488,0,933,-0.0824252,0.236668,-0.968088,13467.6,-15372.8,1597.49,553,12427.4,-12386.1,-10619.5,562,1892
10489,0,2159,-0.583874,-0.580175,-0.56788,11550.4,5142.63,-16159.2,495,-999999,-999999,-999999,-999999,2159
10490,0,2020,-0.577812,-0.579025,-0.575207,-10736.2,-8657.89,-15194.8,600,-999999,-999999,-999999,-999999,2020
10491,0,1057,0.528482,0.153089,-0.835028,-20194.1,-3364.72,-1061.99,498,-9269.04,-200,-18324.1,587,2245
10492,0,1680,-0.579369,-0.574868,-0.577804,-7939.64,-15646.7,-10619.5,547,-999999,-999999,-999999,-999999,1680
10493,0,2231,-0.578326,-0.584916,-0.568693,-1095.19,10287.4,-17733.8,480,-999999,-999999,-999999,-999999,2231
10494,0,1811,-0.571897,-0.586093,-0.573959,-14174.2,10298.1,-10619.5,482,-999999,-999999,-999999,-999999,1811
10495,0,1484,-0.574756,-0.577257,-0.580026,-15660.8,-11378.3,-6634.82,545,-999999,-999999,-999999,-999999,1484
10496,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,501,-999999,-999999,-999999,-999999,2144
10497,0,2013,-0.575805,-0.580702,-0.575529,-13761,-5374.13,-14233.9,603,-999999,-999999,-999999,-999999,2013
10498,0,1188,-0.436685,0.125078,-0.890877,18200.2,9121.02,-2410.12,409,14150.5,10281,-10671.9,441,1933
10499,0,2228,-0.58025,-0.583693,-0.56799,2865.63,8814.95,-18324.1,359,-999999,-999999,-999999,-999999,2228
10500,0,1369,-0.586496,-0.572276,-0.573169,19442.6,-5275.39,-3722.65,530,-999999,-999999,-999999,-999999,1369
10501,0,923,-0.583371,-0.56844,-0.580133,6316.34,-19439.4,730.744,544,-999999,-999999,-999999,-999999,923
10502,0,1805,0.567415,-0.749748,-0.340468,-11412.2,13604.2,-10243.9,447,3591.92,-6221.33,-19246.9,345,2265
10503,0,1724,-0.586943,-0.573078,-0.571909,16615.9,-7397.82,-9422.97,532,-999999,-999999,-999999,-999999,1724
10504,0,2103,0.190385,-0.955521,-0.225241,-4930.93,13834.8,-14301.5,587,-750.884,-7144.44,-19246.9,594,2259
10505,0,993,-0.214074,-0.751903,-0.62355,5195.52,19686.8,2251.77,474,-2236.94,-6418.61,-19397.4,576,2258
10505,1,1772,-0.0150642,-0.856236,-0.516366,5620.46,17298.2,-9422.97,487,5316.12,0.0199,-19854.9,548,2320
10506,0,1342,0.460694,0.617437,-0.6376,5031.85,-19099.9,-5488.49,554,10544.9,-11711.2,-13118.5,591,2050
10507,0,2199,-0.582368,-0.576991,-0.572651,-1067.61,-10290.3,-17733.8,537,-999999,-999999,-999999,-999999,2199
10508,0,1422,-0.574912,-0.5857,-0.571342,1004.44,19787.2,-5210.75,556,-999999,-999999,-999999,-999999,1422
10509,0,2321,-0.58295,-0.580576,-0.56842,5199.95,1105.3,-19854.9,535,-999999,-999999,-999999,-999999,2321
10510,0,955,-0.584882,-0.572574,-0.574519,20328.8,-1142.19,2251.77,447,-999999,-999999,-999999,-999999,955
10511,0,912,0.41751,0.425239,-0.80303,-451.714,-20492.5,-318.595,544,6783.11,-13123.8,-14233.9,622,2145
10512,0,2289,-0.579771,-0.583858,-0.568309,830.653,7887.1,-18954.4,468,-999999,-999999,-999999,-999999,2289
10513,0,2198,-0.581586,-0.577969,-0.57246,-2674.08,-8877.19,-18324.1,583,-999999,-999999,-999999,-999999,2198
10514,0,891,-0.575024,-0.573208,-0.583764,-12753.7,-15871.6,2251.77,515,-999999,-999999,-999999,-999999,891
10515,0,877,0.106345,0.399757,-0.910431,-18764.7,-8092.75,1625.62,509,-17334.4,-2716.09,-10619.5,575,1832
10516,0,2035,-0.582121,-0.575407,-0.574493,-2117.55,-13628,-15194.8,483,-999999,-999999,-999999,-999999,2035
10517,0,1764,-0.580957,-0.582471,-0.568522,11019.3,13654,-10619.5,426,-999999,-999999,-999999,-999999,1764
10518,0,1948,-0.5806,-0.58325,-0.568088,8617.38,13221.7,-13118.5,490,-999999,-999999,-999999,-999999,1948
10519,0,892,-0.574349,-0.574412,-0.583244,-14530,-14421.7,730.744,542,-999999,-999999,-999999,-999999,892
10520,0,2093,-0.578095,-0.585235,-0.5686,2226.35,14604.4,-14233.9,463,-999999,-999999,-999999,-999999,2093
10521,0,1133,-0.585452,-0.568818,-0.577661,12747.6,-16026.6,-730.744,517,-999999,-999999,-999999,-999999,1133
10522,0,1818,-0.571815,-0.584984,-0.575171,-16390.9,6260.62,-10619.5,501,-999999,-999999,-999999,-999999,1818
10523,0,885,-0.573269,-0.574959,-0.583768,-15774.9,-12873.1,2251.77,526,-999999,-999999,-999999,-999999,885
10524,0,943,-0.585611,-0.56984,-0.576491,18106.7,-9311.91,2251.77,501,-999999,-999999,-999999,-999999,943
10525,0,2219,-0.583554,-0.580534,-0.567842,9445.46,4220.56,-17733.8,500,-999999,-999999,-999999,-999999,2219
10526,0,1483,-0.574358,-0.577698,-0.579981,-16266.2,-10545,-6634.82,554,-999999,-999999,-999999,-999999,1483
10527,0,883,-0.572388,-0.575937,-0.583668,-17117.7,-11024.9,2251.77,494,-999999,-999999,-999999,-999999,883
10528,0,1989,-0.572497,-0.585843,-0.573616,-13956,9030.14,-12029.9,488,-999999,-999999,-999999,-999999,1989
10529,0,1878,-0.583872,-0.573343,-0.574779,2494.75,-15583.6,-13118.5,547,-999999,-999999,-999999,-999999,1878
10530,0,2144,-0.584144,-0.575638,-0.572203,3583.81,-11029.7,-16932.1,536,-999999,-999999,-999999,-999999,2144
10531,0,1013,-0.0223976,-0.7362,-0.676394,-5877.92,19586.9,1433.38,474,-6562.71,-2921.94,-19246.9,214,2249
10532,0,1284,-0.569372,-0.582823,-0.579769,-20144.6,3003.19,-2251.77,472,-999999,-999999,-999999,-999999,1284
10533,0,2151,-0.585885,-0.576217,-0.569836,11550.5,-5142.54,-16159.2,589,-999999,-999999,-999999,-999999,2151
10534,0,2051,-0.585701,-0.574435,-0.571821,8710.68,-10692.6,-15194.8,616,-999999,-999999,-999999,-999999,2051
10535,0,1261,-0.0588353,-0.846326,-0.529405,-15992.9,12820.9,-320.963,492,-17137.4,-3642.73,-10619.5,564,1655
